usertype,day_of_week,num_of_rides,avg_ride_length
casual,1,18652,5059.567285009651
casual,2,6727,3949.130816114167
casual,3,7985,4176.096180338134
casual,4,8383,4110.256590719313
casual,5,7784,7759.781731757451
casual,6,8522,5725.460807322225
casual,7,13473,4946.762784828917
member,1,60197,972.340299350466
member,2,110430,822.278601829213
member,3,127974,769.4416287683435
member,4,121903,711.9780973396881
member,5,125228,707.2092742837066
member,6,115168,796.7025302167269
member,7,59413,973.9517782303536
